"year","combinedStatus","fullName","sortName","primaryNationality","secondaryNationality","tertiaryNationality","gender","photoUrl","photoCredit","type","lastStatus","typeOfDeath","status","employedAs","organizations","jobs","coverage","mediums","country","location","region","state","locality","province","localOrForeign","sourcesOfFire","motiveConfirmed","accountabilityCrossfire","accountabilityAssignment","impunityMurder","tortured","captive","threatened","charges","motive","lengthOfSentence","healthProblems","impCountry","entry","sentenceDate","sentence","locationImprisoned"
"2018","Confirmed","Abadullah Hananzai",,"Afghanistan",,,"Male",,,"Journalist","Killed","Murder","Killed","Staff","Radio Azadi,Radio Free Europe/Radio Liberty","Producer","Crime,Politics,War","Radio,Internet","Afghanistan","Kabul",,,"Kabul",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"1998","Confirmed","Abay Hailu",,"Ethiopia",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Agiere","Print Reporter","Human Rights,Politics","Print","Ethiopia","Addis Ababa",,,"Addis Ababa",,"Local","Government Officials","Confirmed",,"No",,,,,,,,,,,,,
"2012","Confirmed","Abd al-Karim al-Ezzo",,"Syria",,,"Male",,,"Journalist",,"Crossfire","Killed","Freelance","Freelance","Camera Operator","War","Internet","Syria","Homs",,,"Homs",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"1996","Confirmed","Abdallah Bouhachek",,"Algeria",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Révolution et Travail","Editor","Politics","Print","Algeria","Blida",,,"Blida",,"Local",,"Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2013","Confirmed","Abdel Aziz Mahmoud Hasoun",,"Syria",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Masar Press","Internet Reporter","Human Rights,Politics,War","Internet","Syria","Jobar, Damascus",,,"Jobar, Damascus",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"2012","Confirmed","Abdel Karim al-Oqda",,"Syria",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/abuhassan.youtube.cropped.jpg","","Journalist",,"Murder","Killed","Staff","Shaam News Network","Camera Operator","Human Rights,War","Internet","Syria","Hama",,,"Hama",,"Local","Military Officials","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2006","Confirmed","Abdel Karim al-Rubai",,"Iraq",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Al-Sabah","Editor","War","Print","Iraq","Baghdad",,,"Baghdad",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2013","Confirmed","Abdel Karim Nazir Ismail",,"Syria",,,"Male",,,"Journalist",,"Crossfire","Killed","Freelance","Freelance","Camera Operator","Human Rights,War","Internet","Syria","Arbin",,,"Arbin",,"Local",,"Confirmed",,,,,,,,,,,,,,,
"2004","Confirmed","Abdel Sattar Abdel Karim",,"Iraq",,,"Male",,,"Journalist",,"Crossfire","Killed","Freelance","Al Ta'akhy","Photographer","Culture,Sports","Print","Iraq","Arbil",,,"Arbil",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"1993","Confirmed","Abdelhamid Benmeni",,"Algeria",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Algérie-Actualité","Print Reporter","War","Print","Algeria","Algiers",,,"Algiers",,"Local",,"Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"1995","Confirmed","Abdelhamid Yahiaoui",,"Algeria",,,"Male",,,"Journalist",,"Murder","Killed","Staff","El-Chaab","Editor","War","Print","Algeria","Baraki, Algiers",,,"Baraki, Algiers",,"Local",,"Confirmed",,,"Complete Impunity","No","Yes","No",,,,,,,,,
"1994","Confirmed","Abdelkader Hireche",,,,,"Male",,,"Journalist",,"Murder","Killed","Staff","Algerian Television (ENTV)","Broadcast Reporter","Politics","Television","Algeria","Algiers",,,"Algiers",,"Foreign",,"Confirmed",,,"Partial Impunity","No","No","No",,,,,,,,,
"2016","Confirmed","Abdelqadir Fassouk",,"Libya",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Abdelqadir-Fassouk250.jpg","Courtesy Arraed TV","Journalist",,"Crossfire","Killed","Staff","Arraed Satellite TV","Camera Operator,Photographer","War","Print,Television","Libya","Sirte",,,"Sirte",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"1993","Confirmed","Abderrahmane Chergou",,"Algeria",,,"Male",,,"Journalist",,"Murder","Killed","Freelance","Freelance","Print Reporter","Politics","Print","Algeria","Algiers",,,"Algiers",,"Local",,"Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2016","Confirmed","Abdiaziz Ali",,"Somalia",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Radio Shabelle","Broadcast Reporter","Corruption,Human Rights,War","Radio","Somalia","Mogadishu",,,"Mogadishu",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2013","Confirmed","Abdihared Osman Aden",,"Somalia",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Abdihared%252520Osman%252520Adan%252520%252528Shabelle%252529croppedcap.jpg","","Journalist",,"Murder","Killed","Freelance","Shabelle Media Network","Producer","Culture,Politics","Radio,Television","Somalia","Mogadishu",,,"Mogadishu",,"Local",,"Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2012","Confirmed","Abdirahman Yasin Ali",,"Somalia",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Killed.abdirahman.Yasin%252528SOMJA%252529.jpg","","Journalist",,"Murder","Killed","Staff","Radio Hamar","Editor","Culture,Human Rights,Politics","Radio","Somalia","Mogadishu",,,"Mogadishu",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2009","Confirmed","Abdirisak Mohamed Warsame",,"Somalia",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Radio Shabelle","Producer","Politics,War","Radio","Somalia","Mogadishu",,,"Mogadishu",,"Local",,"Confirmed",,,,,,,,,,,,,,,
"2014","Confirmed","Abdirizak Ali Abdi",,"Somalia",,,"Male",,,"Journalist",,"Murder","Killed","Freelance","Freelance","Broadcast Reporter","Politics","Radio,Television","Somalia","Galkayo, Puntland",,,"Galkayo, Puntland",,"Local",,"Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2011","Confirmed","Abdisalan Sheikh Hassan",,"Somalia",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Abdisalan1%252520%252528Horncable%252520TV%252529.jpg","HornCable TV","Journalist",,"Murder","Killed","Freelance","Freelance","Broadcast Reporter","Human Rights,Politics","Radio,Television","Somalia","Mogadishu",,,"Mogadishu",,"Local","Government Officials, Military Officials","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2012","Confirmed","Abdisatar Daher Sabriye",,"Somalia",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/killed.Abdisatar%252520Daher%252520Sabriye%252520%252528SOMJA%252529.jpg","","Journalist",,"Murder","Killed","Staff","Radio Mogadishu","Editor","Culture,Human Rights,Politics","Radio","Somalia","Mogadishu",,,"Mogadishu",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2008","Confirmed","Abdul Aziz Shaheen",,"Pakistan",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Azadi","Print Reporter","Politics,War","Print","Pakistan","Swat",,,"Swat",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"2017","Confirmed","Abdul Hakim Shimul",,"Bangladesh",,,"Male",,,"Journalist","Killed","Dangerous Assignment","Killed","Staff","Samakal","Print Reporter","Politics","Print","Bangladesh","Shahjadpur",,,"Shahjadpur",,"Local","Government Officials","Confirmed",,,"Complete Impunity",,,,,,,,,,,,
"2012","Confirmed","Abdul Haq Baloch",,"Pakistan",,,"Male",,,"Journalist",,"Murder","Killed","Staff","ARY Television","Broadcast Reporter","Crime,Politics,War","Television","Pakistan","Khuzdar",,,"Khuzdar",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2018","Confirmed","Abdul Manan Arghand",,"Afghanistan",,,"Male",,,"Journalist","Killed","Murder","Killed","Staff","Kabul News","Broadcast Reporter","Politics,War","Television","Afghanistan","Kandahar",,,"Kandahar",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2012","Confirmed","Abdul Qadir Hajizai",,"Pakistan",,,"Male",,,"Journalist",,"Murder","Killed","Freelance","WASH TV","Broadcast Reporter","Politics,War","Television","Pakistan","Quetta",,,"Quetta",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
